abbreviation,title,field,region,modality,location,deadline,date,url,theme
ADHD,10th World Congress on ADHD,PSYT,INT 🌎,IRL,"Prague, Czech Republic",15 janvier 2025,8 - 11 mai 2025,https://www.adhd-congress.org/#:~:text=8%20%2D%2011%20May%202025%20%7C%20Prague%20Congress%20Centre,
APA,American Psychiatric Association,PSYT,INT 🌎,HYBRID,"Los Angeles, CA",5 septembre 2024 17:00 (UTC−4),17 → 21 mai 2025,https://www.psychiatry.org/psychiatrists/meetings/annual-meeting,Lifestyle for Positive Mental and Physical Health
APA,American Psychological Association,PSYC,INT 🌎,,,,,,
CAN,16th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Montreal, QC",31 janvier 2023,28 mai 2023 → 31 mai 2023,https://can-acn.org/meeting-2023/,
CAN,17th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Vancouver, QC",31 janvier 2024,19 mai 2024 → 22 mai 2024,https://can-acn.org/meeting-2024/,
CAN,18th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Toronto, ON",31 janvier 2025,21 mai 2025 → 24 mai 2025,https://can-acn.org/meeting-2025/,
CAN,19th Canadian Neuroscience Meeting,NEURO,CAN 🍁,,"Montreal, QC",31 janvier 2026,24 → 27 mai 2026,https://can-acn.org/meeting-2026/,
CACBT,Canadian Association of Cognitive and Behavioural Therapies,CBT,CAN 🍁,,"Toronto, ON",,9 → 11 mai 2024,https://cacbt.ca/en/membership/new-member-registration/,
CHMA,Canadian Mental Health Association,PSYC,CAN 🍁,,,,,https://acsmmontreal.qc.ca/en/,
COGS,Canadian Organization for Gender and Sex Research,OTHER,QC ⚜️,,,5 mars 2022,,https://cogsresearch.ca/meetings/2022-call-for-abstracts/,
CPA,75th Canadian Psychiatric Association,PSYT,CAN 🍁,,,,,https://www.cpa-apc.org/future-conferences/,
CPA,Canadian Psychological Association,PSYC,CAN 🍁,,"St. John’s, NL","December 3, 2024","12th – 14th June, 2025",https://convention.cpa.ca/about/,
CPA,Canadian Psychological Association,PSYC,CAN 🍁,,"Montreal, QC",2026,"May 28 – 30, 2026",https://cpa.ca/cpaconventions/,
CNS,Cognitive Neuroscience Society,NEURO,INT 🌎,VRL 🌐,,,,https://www.cogneurosociety.org/annual-meeting/,
QUARIERA,Colloque de professionnelles et professionnels en emploi,COUNS,QC ⚜️,IRL,"Sherbrooke, QC",18 octobre 2024,12 → 14 février 2025,https://quariera.com/ ,
SQRP,Congrès annuel de la Société Québécoise pour la Recherche en Psychologie,PSYC,QC ⚜️,,,,,https://www.sqrp.ca/,
SIRS,Congress of the Schizophrenia International Research Society,SZ,INT 🌎,IRL,"Chicago, IL",5 décembre 2024,29 mars 2025 → 2 avril 2025,https://sirs.societyconference.com/v2/,
DOUGLAS,Data Blitz,PSYT,QC ⚜️,VRL 🌐,,28 octobre 2020,,https://douglas.research.mcgill.ca/sites/default/files/email_call_research_blitz_november_2020_en.pdf,
DOUGLAS,Douglas Research Day,PSYT,QC ⚜️,,,,,https://douglas.research.mcgill.ca/event/2024-research-day/,
EPA,European Congress of Psychiatry,PSYT,INT 🌎,IRL,"Madrid, Spain",17 septembre 2024,8 avril 2025,https://epa-congress.org/abstract-submission/?utm_campaign=abstract&utm_medium=cpc&utm_source=Google&gclid=CjwKCAjw5p_8BRBUEiwAPpJO6zofplOHzt3pHULehbj1IM5AdPZg1wX08f9AdvBK9Pm-VZg8ZncD-hoCw1wQAvD_BwE,
HBHL,Health Brains for Healthy Lives (Research Day),NEURO,QC ⚜️,,,,,https://hbhlsymposium.ca/,
ISPS,International Conference of the International Society for Psychological and Social Approaches to Psychosis,PSYC,INT 🌎,IRL,,,,https://isps2021.it/,
ICCP,International Congress of Cognitive Psychotherapy,PSYC,INT 🌎,VRL 🌐,,15 janvier 2021,,https://www.iccp2021.com/call-for-papers/,
ICP,International Congress of Psychology,PSYC,INT 🌎,IRL,,18 janvier 2021,,https://www.icp2020.com/,
IEPA,International Early Psychosis Association,SZ,INT 🌎,,,,,https://iepa.org.au/,
ITSS,International Society for Traumatic Stress Studies,OTHER,INT 🌎,,,,,https://istss.org/am20/home.aspx,
NeuroQAM,NeuroQAM journée scientifique,NEURO,CAN 🍁,VRL 🌐,,,,https://neuroqam.uqam.ca/activites-neuroqam/conferences-mensuelles/conferences-a-venir/,
NEUROSYMPOSIUM,Neurosymposium,NEURO,QC ⚜️,HYBRID,,,,https://en.neurosymposium.ca/home,
OHBM,Organization for Human Brain Mapping,NEURO,INT 🌎,HYBRID,"Montreal, QC",17 décembre 2021,,https://www.humanbrainmapping.org/i4a/pages/index.cfm?pageid=4112,
SOBP,Society for Biological Psychiatry,NEURO,CAN 🍁,IRL,"Toronto, ON",22 novembre 2024,24 → 26 avril 2025,https://sobp.societyconference.com/v2/,Artificial Intelligence and Mental Health: A New Landscape for Research and Practice
SFN,Society for Neuroscience,NEURO,INT 🌎,IRL,"Chicago, IL",,5 → 9 octobre 2024,https://www.sfn.org/meetings/neuroscience-2024,
WCBCT,World congress of behavioral and cognitive therapies,CBT,INT 🌎,,,,,https://wccbt.org/,
CoP-SMT,Colloque de la Communauté de pratiques internationale santé mentale et travail,WORK,QC ⚜️,HYBRID,,,16 → 18 octobre 2024,https://colloque2024.santementaletravail.ca/,"Santé mentale et travail : s’inspirer, s’outiller, s’allier et innover"
CoP-SMT,Colloque de la Communauté de pratiques internationale santé mentale et travail,WORK,INT 🌎,HYBRID,"Paris, France",2027,2027,https://colloque2024.santementaletravail.ca/,
WPA,World Congress of Psychiatry,PSYT,INT 🌎,VRL 🌐,,1 août 2024,,https://wcp-congress.com/,
WSFPB,World Congress of Societies of Biological Psychiatry,PSYT,INT 🌎,IRL,"Istanbul, Turkey",,5 → 8 juin 2024,https://www.wfsbp-congress.org/,
